VoucherCodeId,Code,Description,ActivationDate,ExpiryDate,CategoryName,Status,Merchant,Product,Type,Discount
2566,WOW20,20% flat discount on Minimum cart value Rs 198. (Maximum Discount INR 100),09-03-2015 00:00,15-03-2015 00:00,Shopping,Active,Askmebazaar,CPS,,
2567,FREESHIPPING,Free Shipping on purchase of Rs.499 and above,09-03-2015 00:00,31-03-2015 00:00,,Active,Printvenue.com,Sale,,
2568,GET400,Flat Rs.400 OFF on purchase of Rs.1350 and above,09-03-2015 00:00,31-03-2015 00:00,,Active,Printvenue.com,Sale,,
2569,GET300,Flat Rs.300 OFF on purchase of Rs.999 and above,09-03-2015 00:00,31-03-2015 00:00,,Active,Printvenue.com,Sale,,
2570,GET150,Flat Rs.150 OFF on purchase of Rs.499 and above,09-03-2015 00:00,31-03-2015 00:00,,Active,Printvenue.com,Sale,,
2571,DEAL1000,Flat Rs.1000 OFF on purchase of Rs.3999 and above,09-03-2015 00:00,31-03-2015 00:00,,Active,Printvenue.com,Sale,,
2572,HELLO1000,Flat Rs.1000 OFF on purchase of Rs.3999 and above,09-03-2015 00:00,31-03-2015 00:00,,Active,Amazon.in,Sale,,
2577,AMZ1000,Flat Rs.1000 OFF on purchase of Rs.3999 and above,09-03-2015 00:00,31-03-2015 00:00,,Active,Amazon.in,Sale,,
2577,PAY1000,Flat Rs.1000 OFF on purchase of Rs.3999 and above,09-03-2015 00:00,31-03-2015 00:00,,Active,Paytm.com,Sale,,
2577,PAY1000,Flat Rs.1000 OFF on purchase of Rs.3999 and above,09-03-2015 00:00,31-03-2015 00:00,,Active,Paytm.com,Sale,,
